REG_ANS;ano;trimestre;VL_SALDO_FINAL
477;2023;4;6263222589.08
477;2025;1;1257109617.35
515;2023;4;3358508125.88
515;2025;1;102537780.92
515;2025;2;111927627.43
515;2025;3;140959173.25
582;2023;4;28710909552.74
582;2025;1;13649443143.35
582;2025;2;26358171312.29
582;2025;3;39461785180.88
701;2023;4;32460952897.03
701;2025;1;12001491390.69
701;2025;2;22505338245.42
701;2025;3;33327874834.1
884;2023;4;2628505140.43
884;2025;1;1041946613.27
884;2025;2;1607118453.21
884;2025;3;2183959623.24
5711;2023;4;273770757240.72
5711;2025;1;102195684284.0
5711;2025;2;167235113374.87
5711;2025;3;235101481037.87
6246;2023;4;189538935874.98
6246;2025;1;75660776556.99
6246;2025;2;127313811733.5
6246;2025;3;182853172183.92
300136;2023;4;788547960.8
300136;2025;1;284673135.38
300136;2025;2;500783060.46
300136;2025;3;725617131.19
300195;2023;4;5342682.88
300713;2023;4;875793354.87
300713;2025;1;287232374.26
300713;2025;2;527533939.39
300713;2025;3;769551982.42
300730;2023;4;30538547.13
300730;2025;1;9507910.77
300730;2025;2;17714992.98
300730;2025;3;24920614.17
300870;2023;4;112503540.72
300870;2025;1;109218155.61
300870;2025;2;107510690.56
300870;2025;3;107312763.53
301060;2023;4;450317394.62
301060;2025;1;147119129.84
301060;2025;2;259830145.97
301060;2025;3;384703641.32
301124;2023;4;314235034.1
301124;2025;1;101004120.4
301124;2025;2;172764744.25
301124;2025;3;246605592.22
301574;2023;4;1516167733.51
301574;2025;1;459244958.07
301574;2025;2;913061343.98
301574;2025;3;1405401699.15
301647;2023;4;3743075.49
301728;2023;4;419937259.62
301728;2025;1;160833874.59
301728;2025;2;284838417.05
301728;2025;3;418249631.62
301744;2023;4;365372953.68
301744;2025;1;180357321.53
301744;2025;2;312476144.46
301744;2025;3;465004839.41
301949;2023;4;7559710924.25
301949;2025;1;2311425512.14
301949;2025;2;4173187015.49
301949;2025;3;6200710822.99
302147;2023;4;36881426736.98
302147;2025;1;11430368120.14
302147;2025;2;22338605789.36
302147;2025;3;33514988935.15
302228;2023;4;191141003.01
302228;2025;1;62217003.73
302228;2025;2;115748082.02
302228;2025;3;172344814.99
302627;2023;4;252740342.04
302627;2025;1;92869591.56
302627;2025;2;184040239.16
302627;2025;3;257475215.5
302953;2023;4;2797016935.6
302953;2025;1;951855011.15
302953;2025;2;1873287811.72
302953;2025;3;2841613525.27
303178;2023;4;598865852.07
303178;2025;1;156111052.18
303178;2025;2;291179587.79
303178;2025;3;436100088.73
303259;2023;4;16264402.73
303267;2023;4;2806661184.21
303267;2025;1;910805279.11
303267;2025;2;1801421422.62
303267;2025;3;2734284727.62
303291;2023;4;4046667.28
303356;2023;4;3582965402.84
303356;2025;1;1243522591.46
303356;2025;2;2329271584.05
303356;2025;3;3558865431.55
303623;2023;4;4700010599.34
303623;2025;1;1692404885.69
303623;2025;2;3201714017.84
303623;2025;3;4767891844.98
303739;2023;4;1255596306.89
303739;2025;1;445276747.34
303739;2025;2;843697698.36
303739;2025;3;1254425973.56
303844;2023;4;389279807.3
303844;2025;1;116358608.2
303844;2025;2;217284693.28
303844;2025;3;318891214.77
303976;2023;4;11193783190.24
303976;2025;1;3628646511.1
303976;2025;2;6464935761.5
303976;2025;3;9270597377.38
304051;2023;4;2032898080.69
304051;2025;1;398847834.59
304051;2025;2;650383517.37
304051;2025;3;881695666.03
304123;2023;4;313439060.64
304123;2025;1;123859547.83
304123;2025;2;221763858.21
304123;2025;3;333889433.32
304131;2023;4;414391391.18
304131;2025;1;254088318.47
304131;2025;2;459107158.08
304131;2025;3;681912916.18
304212;2023;4;5750651.44
304212;2025;1;26196432.79
304212;2025;2;61883938.85
304212;2025;3;122048220.61
304344;2023;4;620106917.38
304344;2025;1;209761458.06
304344;2025;2;386169705.03
304344;2025;3;569566546.05
304395;2023;4;661438554.56
304395;2025;1;255250103.85
304395;2025;2;498666638.71
304395;2025;3;741404420.8
304441;2023;4;154177593.75
304441;2025;1;52392789.98
304441;2025;2;95118331.6
304441;2025;3;137083109.85
304468;2023;4;806492863.04
304468;2025;1;294293947.78
304468;2025;2;531424014.5
304468;2025;3;782722578.25
304484;2023;4;617361105.86
304484;2025;1;165365302.62
304484;2025;2;310384743.44
304484;2025;3;471424298.94
304531;2023;4;78770778.2
304531;2025;1;27681181.66
304531;2025;2;45443051.61
304531;2025;3;63475299.09
304701;2023;4;23201239165.38
304701;2025;1;8126656400.15
304701;2025;2;14681698072.45
304701;2025;3;21686451701.92
304883;2023;4;1622379491.08
304883;2025;1;494647957.07
304883;2025;2;977645233.57
304883;2025;3;1386365886.98
305227;2023;4;624907125.99
305227;2025;1;225671374.59
305227;2025;2;406638254.14
305227;2025;3;613429756.9
305421;2023;4;31029881.97
305421;2025;1;9919820.76
305421;2025;2;18864705.68
305421;2025;3;24894194.75
305472;2023;4;626974785.48
305472;2025;1;235377733.55
305472;2025;2;425482742.45
305472;2025;3;644385399.79
305626;2025;1;107913120.65
305626;2025;2;159736076.2
305626;2025;3;221040181.07
305740;2023;4;5268589.81
305928;2023;4;49885390.16
305928;2025;1;16657027.9
305928;2025;2;31586742.64
305928;2025;3;46641401.54
306045;2023;4;68015755.92
306045;2025;1;25383088.98
306045;2025;2;40096154.87
306045;2025;3;57330961.3
306100;2023;4;995664385.71
306100;2025;1;350140494.75
306100;2025;2;641911534.24
306100;2025;3;951234700.03
306126;2023;4;1245365727.76
306126;2025;1;367055478.06
306126;2025;2;726574559.99
306126;2025;3;1095913058.16
306398;2023;4;3798951884.52
306398;2025;1;1318822724.96
306398;2025;2;2483629228.55
306398;2025;3;3704595175.99
306754;2023;4;292108387.54
306754;2025;1;94014538.18
306754;2025;2;188713690.4
306754;2025;3;273010554.02
306762;2023;4;1148076389.02
306762;2025;1;384348908.0
306762;2025;2;726378083.09
306762;2025;3;1081801938.04
306886;2023;4;3728113293.01
306886;2025;1;1275135935.85
306886;2025;2;2338457216.94
306886;2025;3;3493547735.05
307319;2023;4;1839573255.19
307319;2025;1;595961661.6
307319;2025;2;1114317177.3
307319;2025;3;1690106076.1
307751;2023;4;932065501.21
307751;2025;1;282833215.83
307751;2025;2;528303079.99
307751;2025;3;755827626.09
308811;2023;4;242867799.33
308811;2025;1;84301125.61
308811;2025;2;157638871.67
308811;2025;3;238289400.77
309028;2023;4;103928068.26
309028;2025;1;86848886.88
309028;2025;2;120337730.31
309028;2025;3;156677258.75
309087;2023;4;620908647.91
309087;2025;1;182631900.64
309087;2025;2;361252593.27
309087;2025;3;534935741.37
309222;2023;4;12987451733.2
309222;2025;1;5358602518.5
309222;2025;2;9166487973.86
309222;2025;3;13611429282.19
309257;2023;4;1145690.65
309524;2023;4;206975520.09
309524;2025;1;69892898.48
309524;2025;2;127332299.25
309524;2025;3;190513699.86
309907;2023;4;1184095555.16
309907;2025;1;391724707.18
309907;2025;2;675902615.4
309907;2025;3;962094957.85
310107;2023;4;2872273.49
310131;2023;4;1400170.31
310239;2023;4;220348819.55
310239;2025;1;60900733.04
310239;2025;2;103713855.18
310239;2025;3;154411495.55
310247;2023;4;1914743372.77
310247;2025;1;578060458.72
310247;2025;2;1092692979.74
310247;2025;3;1657620131.2
310522;2023;4;1287377029.75
310522;2025;1;451991941.29
310522;2025;2;851124088.88
310522;2025;3;1388972346.44
310981;2023;4;200071200.88
310981;2025;1;51442296.07
310981;2025;2;83853522.12
310981;2025;3;120635730.9
311057;2023;4;39004479.64
311057;2025;1;17079049.14
311057;2025;2;27125193.33
311057;2025;3;39052101.57
311146;2023;4;466248780.24
311146;2025;1;175359266.7
311146;2025;2;276027551.65
311146;2025;3;379623831.58
311294;2023;4;1210055276.44
311294;2025;1;359042730.01
311294;2025;2;695474936.88
311294;2025;3;1008496244.78
311359;2025;1;182022984.32
311359;2025;2;360320353.33
311359;2025;3;566083453.67
311375;2023;4;1320052163.26
311375;2025;1;440014176.79
311375;2025;2;838490048.77
311375;2025;3;1277953086.3
311391;2023;4;82735416.41
311391;2025;1;25848949.29
311391;2025;2;48570620.96
311391;2025;3;69423053.59
311472;2023;4;274744882.53
311472;2025;3;51387584.64
311618;2023;4;702387021.36
311618;2025;1;241486899.5
